num_clients,total_messages,variant,throughput_mean,throughput_stdev,latency_mean,latency_stdev,speedup_throughput,speedup_latency,efficiency_throughput,efficiency_latency
1,100.0,jvm-gramine,457.45,23.53,2.00,0.00,0.5855,0.5000,0.5855,0.5000
2,100.0,jvm-gramine,104.58,2.87,5.33,0.58,0.7747,0.1875,0.3874,0.0938
4,100.0,jvm-gramine,140.18,3.12,14.00,1.00,0.5261,0.0714,0.1315,0.0179
8,100.0,jvm-gramine,171.08,12.33,29.67,4.04,0.3312,0.0337,0.0414,0.0042
16,100.0,jvm-gramine,204.96,3.62,36.00,0.00,0.3489,0.0278,0.0218,0.0017
1,100.0,jvm-local,781.28,6.10,1.00,0.00,1.0000,1.0000,1.0000,1.0000
2,100.0,jvm-local,134.99,1.37,1.00,0.00,1.0000,1.0000,0.5000,0.5000
4,100.0,jvm-local,266.45,2.47,1.00,0.00,1.0000,1.0000,0.2500,0.2500
8,100.0,jvm-local,516.48,4.11,1.00,0.00,1.0000,1.0000,0.1250,0.1250
16,100.0,jvm-local,587.37,11.22,1.00,0.00,1.0000,1.0000,0.0625,0.0625
1,100.0,native-dynamic,787.43,6.20,1.00,0.00,1.0079,1.0000,1.0079,1.0000
2,100.0,native-dynamic,137.12,5.86,1.00,0.00,1.0157,1.0000,0.5079,0.5000
4,100.0,native-dynamic,260.37,1.74,1.00,0.00,0.9772,1.0000,0.2443,0.2500
8,100.0,native-dynamic,506.79,4.67,1.00,0.00,0.9812,1.0000,0.1227,0.1250
16,100.0,native-dynamic,579.89,20.04,1.00,0.00,0.9873,1.0000,0.0617,0.0625
1,100.0,native-static,779.23,3.50,1.00,0.00,0.9974,1.0000,0.9974,1.0000
2,100.0,native-static,137.07,4.09,1.00,0.00,1.0154,1.0000,0.5077,0.5000
4,100.0,native-static,260.35,4.49,1.00,0.00,0.9771,1.0000,0.2443,0.2500
8,100.0,native-static,503.92,5.44,1.00,0.00,0.9757,1.0000,0.1220,0.1250
16,100.0,native-static,572.61,17.82,1.00,0.00,0.9749,1.0000,0.0609,0.0625
