variant,scaling_type,threads,executed_threads,data_size,total_size,iterations,avg_time_millis
jvm-local,weak,1,1,1024,,5,36.252
jvm-local,weak,2,2,2048,,5,46.551
jvm-local,weak,4,4,4096,,5,107.936
jvm-local,weak,8,8,8192,,5,192.88
jvm-local,weak,16,16,16384,,5,479.236
jvm-local,weak,32,32,32768,,5,1011.831
jvm-local,strong,1,1,,1024,5,29.6
jvm-local,strong,2,2,,1024,5,30.25
jvm-local,strong,4,4,,1024,5,30.532
jvm-local,strong,8,8,,1024,5,22.491
jvm-local,strong,16,16,,1024,5,22.287
jvm-local,strong,32,32,,1024,5,22.493
jvm-gramine,weak,1,1,1024,,5,200.77
jvm-gramine,weak,2,2,2048,,5,384.343
jvm-gramine,weak,4,4,4096,,5,818.013
jvm-gramine,weak,8,8,8192,,5,1817.341
jvm-gramine,weak,16,16,16384,,5,4484.774
jvm-gramine,weak,32,32,32768,,5,15406.84
jvm-gramine,strong,1,1,,1024,5,593.829
jvm-gramine,strong,2,2,,1024,5,605.861
jvm-gramine,strong,4,4,,1024,5,621.781
jvm-gramine,strong,8,8,,1024,5,634.858
jvm-gramine,strong,16,16,,1024,5,651.021
jvm-gramine,strong,32,32,,1024,5,669.094
native-dynamic,weak,1,1,1024,,5,65.981
native-dynamic,weak,2,2,2048,,5,125.011
native-dynamic,weak,4,4,4096,,5,255.069
native-dynamic,weak,8,8,8192,,5,499.353
native-dynamic,weak,16,16,16384,,5,1005.857
native-dynamic,weak,32,32,32768,,5,1976.771
native-dynamic,strong,1,1,,1024,5,59.445
native-dynamic,strong,2,2,,1024,5,58.835
native-dynamic,strong,4,4,,1024,5,59.087
native-dynamic,strong,8,8,,1024,5,60.892
native-dynamic,strong,16,16,,1024,5,60.93
native-dynamic,strong,32,32,,1024,5,60.827
native-static,weak,1,1,1024,,5,95.332
native-static,weak,2,2,2048,,5,191.444
native-static,weak,4,4,4096,,5,383.498
native-static,weak,8,8,8192,,5,773.682
native-static,weak,16,16,16384,,5,1549.431
native-static,weak,32,32,32768,,5,3091.801
native-static,strong,1,1,,1024,5,94.43
native-static,strong,2,2,,1024,5,95.435
native-static,strong,4,4,,1024,5,94.967
native-static,strong,8,8,,1024,5,95.247
native-static,strong,16,16,,1024,5,95.275
native-static,strong,32,32,,1024,5,94.819
